paper_row	paper	parent_row	parent	score	reference
5	Semantic Feature Purification for Adversarially-Aware RGB-T Tracking	72	Exploring fusion strategies for accurate RGBT visual object tracking	1.000	18. shrinking attack: Blinding the tracker with imperceptible Schlarmann, C.; and Hein, M. 2023. On the adversarial noises. In Proc. of CVPR. robustness of multi-modal foundation models. In Proc. of Yan, S.; Yang, J.; Käpylä, J.; Zheng, F.; Leonardis, A.; and ICCV. Kämäräinen, J.-K. 2021. Depthtrack: Unveiling the power Shao, Z.; Hu, Y.; Fan, B.; and Liu, H. 2025. PURA: Pa- of rgbd tracking. In Proc. of ICCV. rameter Update-Recovery Test-Time Adaption for RGB-T Ye, B.; Chang, H.; Ma, B.; Sh
6	Tracking and Segmenting Anything in Any Modality	25	CSTrack: Enhancing RGB-X Tracking via Compact Spatiotemporal Features	1.000	Cheng, H. K.; et al. 2021. Rethinking space-time networks with 2022. LasHeR: A Large-Scale High-Diversity Benchmark for improved memory coverage for efficient video object segmenta- RGBT Tracking. IEEE TIP, 31: 392–404. tion. NeurIPS, 34: 11781–11794. Li, H.; Wang, J.; Yuan, J.; Li, Y.; Weng, W.; Peng, Y.; Zhang, Y.; Cho, S.; Lee, H.; et al. 2022. Tackling background distraction in Xiong, Z.; and Sun, X. 2024b. Event-assisted low-light video ob- video object segmentation. In ECCV, 446–462. Sprin
6	Tracking and Segmenting Anything in Any Modality	28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	1.000	2022. Learning dual-fused modality-aware representations for rgbd 2024. Diffmot: A real-time diffusion-based multiple object tracker tracking. In ECCV, 478–494. with non-linear prediction. In CVPR, 19321–19330. Gao, S.; Zhou, C.; and Zhang, J. 2023. Generalized relation mod- Ma, F.; Shou, M. Z.; et al. 2022. Unified transformer tracker for eling for transformer tracking. In CVPR, 18686–18695. object tracking. In CVPR, 8781–8790. Guo, M.; Tan, W.; Ran, W.; Jing, L.; and Zhang, Z. 2025. Dream- May
7	Unaligned UAV RGBT Tracking: A Large-scale Benchmark and a Novel Approach	20	SUTrack: Towards simple and unified single object tracking	1.000	Benchmark, U. 2016. A benchmark and simulator for uav tracking. In European Conference on Computer Vision, vol- Li, C.; Xue, W.; Jia, Y.; Qu, Z.; Luo, B.; Tang, J.; and Sun, D. ume 7, 445–461. 2021. LasHeR: A large-scale high-diversity benchmark for RGBT tracking. IEEE Transactions on Image Processing, Cao, B.; Guo, J.; Zhu, P.; and Hu, Q. 2024. Bi-directional 31: 392–404. adapter for multimodal tracking. In Proceedings of the AAAI Conference on Artificial Intelligence, volume 38, 927–935. Li, C
7	Unaligned UAV RGBT Tracking: A Large-scale Benchmark and a Novel Approach	70	Visual prompt multi-modal tracking	1.000	2022. Reconet: Recurrent correction network for fast and Shi, H.; Mu, X.; He, H.; Zhong, C.; Zhang, B.; and Zhao, efficient multi-modality image fusion. In European confer- P. 2025. IAMTrack: interframe appearance and modality to- ence on computer Vision, 539–555. Springer. kens propagation with temporal modeling for RGBT track- Hui, T.; Xun, Z.; Peng, F.; Huang, J.; Wei, X.; Wei, X.; Dai, ing. Applied Intelligence, 55: 583. J.; Han, J.; and Liu, S. 2023. Bridging search region inter- Tang, L.; 
7	Unaligned UAV RGBT Tracking: A Large-scale Benchmark and a Novel Approach	33	UniRTL: A universal RGBT and low-light benchmark for object tracking	1.000	2024. Improving RGB-infrared object detection with cas- cade alignment-guided transformer. Information Fusion, 105: 102246. Zhang, L.; Danelljan, M.; Gonzalez-Garcia, A.; Van De Wei- jer, J.; and Shahbaz Khan, F. 2019. Multi-modal fusion for end-to-end RGB-T tracking. In Proceedings of the IEEE/CVF International Conference on Computer Vision Workshops, 2252–2261. Zhang, L.; Wang, L.; Wu, Y.; Chen, M.; Zheng, D.; Cao, L.; Zeng, B.; and Cai, Y. 2025. UniRTL: A universal RGBT and low-light benchmar
14	UTPTrack: Towards Simple and Unified Token Pruning for Visual Tracking	42	Onetracker: Unifying visual object tracking with foundation models and efficient tuning	1.000	[13] Lingyi Hong, Shilin Yan, Renrui Zhang, Wanyun Li, Xinyu Zhang, Christoph Feichtenhofer, and Judy Hoffman. To- Zhou, Pinxue Guo, Kaixun Jiang, Yiting Chen, Jinglun Li, ken merging: Your vit but faster. arXiv preprint Zhaoyu Chen, et al. Onetracker: Unifying visual object arXiv:2210.09461, 2022. 2, 5 tracking with foundation models and efficient tuning. In Pro-
14	UTPTrack: Towards Simple and Unified Token Pruning for Visual Tracking	36	Adaptive Perception for Unified Visual Multi-modal Object Tracking	1.000	[15] Xiantao Hu, Bineng Zhong, Qihua Liang, Liangtao Shi, the IEEE/CVF conference on computer vision and pattern Zhiyi Mo, Ying Tai, and Jian Yang. Adaptive perception recognition, pages 8126–8135, 2021. 1 for unified visual multi-modal object tracking. IEEE Trans-
14	UTPTrack: Towards Simple and Unified Token Pruning for Visual Tracking	87	LasHeR: A large-scale high-diversity benchmark for RGBT tracking	1.000	[10] Heng Fan, Hexin Bai, Liting Lin, Fan Yang, Peng Chu, Tang. Rgb-t object tracking: Benchmark and baseline. Pat- Ge Deng, Sijia Yu, Harshit, Mingzhen Huang, Juehuan Liu, tern Recognition, 96:106977, 2019. 1 et al. Lasot: A high-quality large-scale single object tracking [22] Chenglong Li, Wanlin Xue, Yaqing Jia, Zhichen Qu, Bin benchmark. International Journal of Computer Vision, 129: Luo, Jin Tang, and Dengdi Sun. Lasher: A large-scale high- 439–461, 2021. 1 diversity benchmark for rgbt trac
14	UTPTrack: Towards Simple and Unified Token Pruning for Visual Tracking	53	EMTrack: Efficient Multimodal Object Tracking	1.000	[28] Chang Liu, Ziqi Guan, Simiao Lai, Yang Liu, Huchuan Lu, [40] Yifan Xu, Zhijie Zhang, Mengdan Zhang, Kekai Sheng, Ke and Dong Wang. Emtrack: Efficient multimodal object Li, Weiming Dong, Liqing Zhang, Changsheng Xu, and tracking. IEEE Transactions on Circuits and Systems for Xing Sun. Evo-vit: Slow-fast token evolution for dynamic Video Technology, 2024. 2 vision transformer. In Proceedings of the AAAI conference
14	UTPTrack: Towards Simple and Unified Token Pruning for Visual Tracking	70	Visual prompt multi-modal tracking	1.000	[45] Jiawen Zhu, Simiao Lai, Xin Chen, Dong Wang, and 8748–8763. PmLR, 2021. 3, 5 Huchuan Lu. Visual prompt multi-modal tracking. In Pro-
15	 Unified Multimodal Visual Tracking with Dual Mixture-of-Experts	34	Prototype-based cross-modal object tracking	1.000	Henriques, J. F., Caseiro, R., Martins, P., and Batista, J. D. Lasher: A large-scale high-diversity benchmark for High-speed tracking with kernelized correlation filters. rgbt tracking. IEEE Transactions on Image Processing, IEEE transactions on pattern analysis and machine intel- 31:392–404, 2021. ligence, 37(3):583–596, 2014. Li, Z., Tao, R., Gavves, E., Snoek, C. G., and Smeulders, Hong, L., Li, J., Zhou, X., Yan, S., Guo, P., Jiang, K., Chen, A. W. Tracking by natural language specification.
16	CAFormer: Cross-modulated Attention Transformer for RGBT Tracking	39	Bi-directional adapter for multimodal tracking	1.000	Visual Object Tracking. In Proceedings of IEEE Conference 巴，J. L.；基罗斯，J. R.；和 希顿，G. E. 2016。 议论文集</样式>。胡，沈；和孙，2018。 Ba, J. L.; Kiros, J. R.; and Hinton, G. E. 2016. Layer nor- on Computer Vision and Pattern Recognition. 层归一化。arXiv 预印本 arXiv:1607.06450。 Bing， Squeeze‑and‑excitation网络。在<样式id='5'>IEEE malization. arXiv preprint arXiv:1607.06450. Hu, J.; Shen, L.; and Sun, G. 2018. Squeeze-and-excitation C.；俊良，G.；鹏飞，Z.；和 清华，H. 2024。双向适 计算机视觉与模式识别会议论文集</样式>，7132– Bing, C.; Junliang, G.; Pengfei, Z.; 
16	CAFormer: Cross-modulated Attention Transformer for RGBT Tracking	69	Efficient RGB-T tracking via cross-modality distillation	1.000	2021. Transformer tracking. In Proceedings of the IEEE thermal tracking. IEEE Transactions on Image Processing, Conference on Computer Vision and Pattern Recognition, 25(12): 5743–5756. 议论文集，8126–8135。 Cui，Y.；江，C.；王，L.； 踪：基准和基线。<样式id='11'>模式识别</样式>， 8126–8135. Li, C.; Liang, X.; Lu, Y.; Zhao, N.; and Tang, J. 2019a. RGB- 和 吴，G. 2022。Mixformer：迭代混合注意力端到端 96: 106977。李；刘；陆；纪；和唐，2020。挑战感知 Cui, Y.; Jiang, C.; Wang, L.; and Wu, G. 2022. Mixformer: T object tracking: Benchmark and baseline. Pattern Rec
16	CAFormer: Cross-modulated Attention Transformer for RGBT Tracking	70	Visual prompt multi-modal tracking	1.000	2024. 研究稀疏注意力对交叉编码器的影响. In欧洲信 Effects of Sparse Attention on Cross-Encoders. In European CDA: Complementarity-and distractor-aware RGB-T track- （Siam‑CDA）。《IEEE电路与系统视频技术汇刊》， Conference on Information Retrieval, 173–190. ing based on Siamese network. IEEE Transactions on Cir- 息检索会议, 173–190. Song, Z.; Luo, R.; Yu, J.; 32(3): 1403–1417页。周，Q.；石，H.；向，W.；康， Song, Z.; Luo, R.; Yu, J.; Chen, Y.-P. P.; and Yang, W. 2023. cuits and Systems for Video Technology, 32(3): 1403–1417. Chen, Y.‑P. P.; and Yang,
16	CAFormer: Cross-modulated Attention Transformer for RGBT Tracking	41	Temporal adaptive rgbt tracking with modality prompt	1.000	2024. Temporal Adaptive RGBT Tracking with Modality RGBT跟踪与模态提示. In AAAI人工智能会议论文集. 和 罗柏，B. 2020b年。用于鲁棒RGBT跟踪的质量感知特 Prompt. In Proceedings of the AAAI Conference on Artificial dia, 465–472. 征聚合网络。《IEEE智能汽车汇刊》，6(1): 121– 130页。 Wang, X.; Girshick, R.; Gupta, A.; and He, K. Intelligence. Zhu, Y.; Li, C.; Tang, J.; and Luo, B. 2020b. Quality- 朱，Y.；李，C.；唐，J.；罗，B.；和王，L. 2021年。基
17	Cross-Modal Stealth: A Coarse-to-Fine Attack Framework for RGB-T Tracker	76	Dual-modality space-time memory network for RGBT tracking	1.000	6718. Recognition, 27026–27035. Karras, T.; Laine, S.; Aittala, M.; Hellsten, J.; Lehtinen, J.; Zhang, F.; Peng, H.; Yu, L.; Zhao, Y.; and Chen, B. and Aila, T. 2020. Analyzing and improving the image qual- 2023. Dual-modality space-time memory network for ity of stylegan. In Proceedings of the IEEE Conference on RGBT tracking. IEEE Transactions on Instrumentation and Computer Vision and Pattern Recognition, 8110–8119. Measurement, 72: 1–12. Li, C.; Liang, X.; Lu, Y.; Zhao, N.; and Tang, J. 2019
18	Exploiting multimodal spatial-temporal patterns for video object tracking	39	Bi-directional adapter for multimodal tracking	1.000	Hou, X.; Xing, J.; Qian, Y.; Guo, Y.; Xin, S.; Chen, J.; Tang, An, X.; Zhao, L.; Gong, C.; Wang, N.; Wang, D.; and Yang, K.; Wang, M.; Jiang, Z.; Liu, L.; et al. 2024. Sdstrack: Self- J. 2024. SHaRPose: Sparse High-Resolution Representa- distillation symmetric adapter learning for multi-modal vi- tion for Human Pose Estimation. In AAAI, 691–699. AAAI sual object tracking. In CVPR, 26551–26561. Press. Hu, X.; Zhong, B.; Liang, Q.; Zhang, S.; Li, N.; and Li, X. Cao, B.; Guo, J.; Zhu, P.; and Hu, Q
18	Exploiting multimodal spatial-temporal patterns for video object tracking	55	Top-down cross-modal guidance for robust rgb-t tracking	1.000	935. Technology. Chen, L.; Zhong, B.; Liang, Q.; Zheng, Y.; Mo, Z.; and Song, Hu, X.; Zhong, B.; Liang, Q.; Zhang, S.; Li, N.; Li, X.; S. 2024. Top-down Cross-modal Guidance for Robust RGB- and Ji, R. 2024b. Transformer Tracking via Frequency T Tracking. IEEE Transactions on Circuits and Systems for Fusion. IEEE Trans. Circuits Syst. Video Technol., 34(2): Video Technology. 1020–1031. Chen, X.; Peng, H.; Wang, D.; Lu, H.; and Hu, H. 2023. Huang, L.; Zhao, X.; and Huang, K. 2021. GOT-10k: A SeqTr
18	Exploiting multimodal spatial-temporal patterns for video object tracking	100	Challenge-aware RGBT tracking	1.000	Li, X. 2022. SiamBAN: Target-aware tracking with Siamese A MLP-Based Point Cloud Classification Method with Lo- box adaptive network. IEEE Transactions on Pattern Anal- cal Topology Transformation Module. In 2023 7th Asian ysis and Machine Intelligence, 45(4): 5158–5173. Conference on Artificial Intelligence Technology (ACAIT), Cui, Y.; Jiang, C.; Wang, L.; and Wu, G. 2022. MixFormer: 783–789. IEEE. End-to-End Tracking with Iterative Mixed Attention. In Li, C.; Liu, L.; Lu, A.; Ji, Q.; and Tang,
18	Exploiting multimodal spatial-temporal patterns for video object tracking	86	Prompting for multi-modal tracking	1.000	Patro, B. N.; and Agneeswaran, V. S. 2024. Simba: Simpli- Yang, J.; Li, Z.; Zheng, F.; Leonardis, A.; and Song, J. 2022. fied mamba-based architecture for vision and multivariate Prompting for Multi-Modal Tracking. In ACM Multimedia, time series. arXiv preprint arXiv:2403.15360. 3492–3500. ACM. Rezatofighi, H.; Tsoi, N.; Gwak, J.; Sadeghian, A.; Reid, Ye, B.; Chang, H.; Ma, B.; Shan, S.; and Chen, X. 2022. I. D.; and Savarese, S. 2019. Generalized Intersection Over Joint Feature Learning and Rel
18	Exploiting multimodal spatial-temporal patterns for video object tracking	76	Dual-modality space-time memory network for RGBT tracking	1.000	2024. Explicit Visual Prompts for Visual Object Tracking. 2023. Dual-modality space-time memory network for In AAAI, 4838–4846. AAAI Press. RGBT tracking. IEEE Transactions on Instrumentation and Measurement, 72: 1–12. Song, Z.; Luo, R.; Yu, J.; Chen, Y. P.; and Yang, W. 2023. Compact Transformer Tracker with Correlative Masked Zhang, H.; Chen, S.; Luo, L.; and Yang, J. 2024a. Few-shot Modeling. In AAAI, 2321–2329. AAAI Press. learning with long-tailed labels. Pattern Recognition, 156: 110806. T
18	Exploiting multimodal spatial-temporal patterns for video object tracking	41	Temporal adaptive rgbt tracking with modality prompt	1.000	2024. Temporal Adaptive RGBT Tracking with Modality Prompt. In AAAI, 5436–5444. AAAI Press. Wei, X.; Bai, Y.; Zheng, Y.; Shi, D.; and Gong, Y. 2023. Au- toregressive Visual Tracking. In CVPR, 9697–9706. IEEE. Wu, Z.; Zheng, J.; Ren, X.; Vasluianu, F.-A.; Ma, C.; Paudel, D. P.; Van Gool, L.; and Timofte, R. 2024. Single-model and any-modality for video object tracking. In CVPR, 19156– 19166. Xiao, Y.; Yang, M.; Li, C.; Liu, L.; and Tang, J. 2022. Attribute-Based Progressive Fusion Network for RGB
19	RGBT Tracking via All-layer Multimodal Interactions with Progressive Fusion Mamba	39	Bi-directional adapter for multimodal tracking	1.000	2021. LasHeR: A large-scale high-diversity benchmark for RGBT tracking. IEEE Transactions on Image Processing, Bhat, G.; Danelljan, M.; Gool, L. V.; and Timofte, R. 2019. 31: 392–404. Learning discriminative model prediction for tracking. In Proceedings of the IEEE international conference on com- Li, C.; Zhao, N.; Lu, Y.; Zhu, C.; and Tang, J. 2017. puter vision, 6182–6191. Weighted sparse representation regularized graph learning for RGB-T object tracking. In Proceedings of ACM Interna- Cao, B
19	RGBT Tracking via All-layer Multimodal Interactions with Progressive Fusion Mamba	69	Efficient RGB-T tracking via cross-modality distillation	1.000	2024. MambaIR: A Simple Baseline for Image Restoration ing Modality Gap in RGBT Tracking: Coupled Knowledge with State-Space Model. In Proceedings of the IEEE Euro- Distillation. In Proceddings of ACM International Confer- pean Conference on Computer Vision. ence on Multimedia. Hong, L.; Yan, S.; Zhang, R.; Li, W.; Zhou, X.; Guo, P.; Mei, J.; Zhou, D.; Cao, J.; Nie, R.; and He, K. 2023. Dif- Jiang, K.; Chen, Y.; Li, J.; Chen, Z.; et al. 2024. Onetracker: ferential reinforcement and global collab
19	RGBT Tracking via All-layer Multimodal Interactions with Progressive Fusion Mamba	89	RGBT Tracking by Trident Fusion Network	1.000	2023. Dropmae: Masked autoencoders with spatial-attention ing, 62429–62442. dropout for tracking tasks. In Proceedings of the IEEE con- Zhu, Y.; Li, C.; Tang, J.; Luo, B.; and Wang, L. 2021. RGBT ference on computer vision and pattern recognition, 14561– tracking by trident fusion network. IEEE Transactions on
19	RGBT Tracking via All-layer Multimodal Interactions with Progressive Fusion Mamba	44	Single-Model and Any-Modality for Video Object Tracking	1.000	14571. Circuits and Systems for Video Technology, 32(2): 579–592. Wu, Z.; Zheng, J.; Ren, X.; Vasluianu, F.-A.; Ma, C.; Paudel, D. P.; Van Gool, L.; and Timofte, R. 2024. Single-model and any-modality for video object tracking. In Proceedings of the IEEE conference on computer vision and pattern recog- nition, 19156–19166. Xiao, Y.; Yang, M.; Li, C.; Liu, L.; and Tang, J. 2022. Attribute-based progressive fusion network for rgbt track- ing. In Proceedings of the AAAI Conference on Artificial Int
20	SUTrack: Towards simple and unified single object tracking	44	Single-Model and Any-Modality for Video Object Tracking	1.000	2021. Transformer Tracking. In CVPR. 2019a. SiamRPN++: Evolution of Siamese Visual Tracking Cui, Y.; Jiang, C.; Wang, L.; and Wu, G. 2022. MixFormer: with Very Deep Networks. In CVPR. End-to-End Tracking with Iterative Mixed Attention. In Li, B.; Yan, J.; Wu, W.; Zhu, Z.; and Hu, X. 2018. High CVPR. Performance Visual Tracking with Siamese Region Proposal Cui, Y.; Jiang, C.; Wang, L.; and Wu, G. 2024. MixFormer: Network. In CVPR. End-to-End Tracking with Iterative Mixed Attention. IEEE Li, C.; L
20	SUTrack: Towards simple and unified single object tracking	86	Prompting for multi-modal tracking	1.000	Ghanem, B. 2018. TrackingNet: A Large-Scale Dataset and Xu, Y.; Wang, Z.; Li, Z.; Yuan, Y.; and Yu, G. 2020. Benchmark for Object Tracking in the Wild. In ECCV. SiamFC++: Towards Robust and Accurate Visual Tracking with Target Estimation Guidelines. In AAAI. Nam, H.; and Han, B. 2016. Learning Multi-domain Convo- lutional Neural Networks for Visual Tracking. In CVPR. Yan, B.; Peng, H.; Fu, J.; Wang, D.; and Lu, H. 2021a. Learning Spatio-Temporal Transformer for Visual Tracking. Peng, L.; Gao, J.
22	ACAttack: Adaptive Cross Attacking RGB-T Tracker via Multi-Modal Response Decoupling	39	Bi-directional adapter for multimodal tracking	1.000	[3] Bing Cao, Junliang Guo, Pengfei Zhu, and Qinghua Hu. Bi- the IEEE International Conference on Acoustics, Speech and directional adapter for multimodal tracking. In Proceedings Signal Processing, pages 2739–2743, 2022. 2 of the AAAI Conference on Artificial Intelligence, pages 927– [16] Andong Lu, Chenglong Li, Yuqing Yan, Jin Tang, and Bin 935, 2024. 2, 5 Luo. Rgbt tracking via multi-adapter network with hierarchi-
22	ACAttack: Adaptive Cross Attacking RGB-T Tracker via Multi-Modal Response Decoupling	92	Duality-gated mutual condition network for RGBT tracking	1.000	[4] Xuesong Chen, Xiyu Yan, Feng Zheng, Yong Jiang, Shu- cal divergence loss. IEEE Transactions on Image Processing, Tao Xia, Yong Zhao, and Rongrong Ji. One-shot adversarial 30:5613–5625, 2021. 1 attacks on visual tracking with dual attention. In Proceed- [17] Andong Lu, Cun Qian, Chenglong Li, Jin Tang, and Liang ings of the IEEE Conference on Computer Vision and Pattern Wang. Duality-gated mutual condition network for rgbt Recognition, pages 10176–10185, 2020. 2 tracking. IEEE Transactions on
22	ACAttack: Adaptive Cross Attacking RGB-T Tracker via Multi-Modal Response Decoupling	83	Attribute-based progressive fusion network for rgbt tracking	1.000	[22] Yun Xiao, Mengmeng Yang, Chenglong Li, Lei Liu, and Jin physical attacks on single object tracking. In Proceedings of Tang. Attribute-based progressive fusion network for rgbt the AAAI Conference on Artificial Intelligence, pages 1236– tracking. In Proceedings of the AAAI Conference on Artifi- 1245, 2021. 2, 5 cial Intelligence, pages 2831–2838, 2022. 5
22	ACAttack: Adaptive Cross Attacking RGB-T Tracker via Multi-Modal Response Decoupling	76	Dual-modality space-time memory network for RGBT tracking	1.000	[27] Fan Zhang, Hanwei Peng, Lingli Yu, Yuqian Zhao, and Baifan Chen. Dual-modality space-time memory network for rgbt tracking. IEEE Transactions on Instrumentation and Measurement, 72:1–12, 2023. 2
22	ACAttack: Adaptive Cross Attacking RGB-T Tracker via Multi-Modal Response Decoupling	70	Visual prompt multi-modal tracking	1.000	[29] Jiawen Zhu, Simiao Lai, Xin Chen, Dong Wang, and Huchuan Lu. Visual prompt multi-modal tracking. In Pro- ceedings of the IEEE Conference on Computer Vision and Pattern Recognition, pages 9516–9526, 2023. 2, 5 22108
23	MUST: The First Dataset and Unified Framework for Multispectral UAV Single Object Tracking	85	Visible-thermal UAV tracking: A large-scale benchmark and new baseline	1.000	[37] Pengyu Zhang, Jie Zhao, Dong Wang, Huchuan Lu, and Xiang Ruan. Visible-thermal uav tracking: A large-scale benchmark and new baseline. In CVPR, pages 8886–8895,
24	PURA: Parameter Update-Recovery Test-Time Adaption for RGB-T Tracking	106	Weighted sparse representation regularized graph learning for RGB-T object tracking	1.000	[20] Chenglong Li, Nan Zhao, Yijuan Lu, Chengli Zhu, and ing modality feature fusion via transformer for rgbt-tracking. Jin Tang. Weighted sparse representation regularized graph Infrared Physics & Technology, 133:104819, 2023. 6 learning for rgb-t object tracking. In ACM MM, pages 1856–
