row	year	venue	type	paper	status	score	source	matched_year	matched_venue	matched_title	url	errors
14	2025	AAAI	RGB-T	Robust RGB-T Tracking via Modality-aware Feature Decoupling	NOT_FOUND	0.360	OpenAlex	2021	Journal Of Big Data	Review of deep learning: concepts, CNN architectures, challenges, applications, future directions	https://doi.org/10.1186/s40537-021-00444-8	query_crossref:TimeoutError
15	2025	AAAI	RGB-T	Efficient Adapter-based RGBT Tracking	NOT_FOUND	0.719	Crossref	2019	2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW)	Multi-Adapter RGBT Tracking	https://doi.org/10.1109/iccvw.2019.00279	
16	2025	AAAI	RGB-T	Cross-Modal Stealth: A Coarse-to-Fine Attack Framework for RGB-T Tracker	FOUND	1.000	OpenAlex	2025	Proceedings of the AAAI Conference on Artificial Intelligence	Cross-Modal Stealth: A Coarse-to-Fine Attack Framework for RGB-T Tracker	https://doi.org/10.1609/aaai.v39i8.32931	
17	2025	ACM MM	Unified	Serial Over Parallel: Learning Continual Unification for Multi-Modal Visual Object Tracking and Benchmarking	FOUND	1.000	DBLP	2025	ACM Multimedia	Serial Over Parallel: Learning Continual Unification for Multi-Modal Visual Object Tracking and Benchmarking	https://dblp.org/rec/conf/mm/Tang00C0WK25	query_openalex:AttributeError
18	2025	CVPR	RGB-T	MambaVT: Vision Mamba based RGB-T Tracking	NOT_FOUND	0.600	Crossref	2025	2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC)	TemVLT: Vision-Language Tracking via Mamba-based Temporal Information Learning	https://doi.org/10.1109/smc58881.2025.11343061	
19	2025	CVPR	RGB-T	ACAttack: Adaptive Cross Attacking RGB-T Tracker via Multi-Modal Response Decoupling	FOUND	1.000	DBLP	2025	CVPR	ACAttack: Adaptive Cross Attacking RGB-T Tracker via Multi-Modal Response Decoupling	https://dblp.org/rec/conf/cvpr/XiangY0025	query_openalex:AttributeError
20	2025	CVPR	RGB-T	PURA: Parameter Update-Recovery Test-Time Adaption for RGB-T Tracking	FOUND	1.000	DBLP	2025	CVPR	PURA: Parameter Update-Recovery Test-Time Adaption for RGB-T Tracking	https://dblp.org/rec/conf/cvpr/ShaoH0025	query_openalex:AttributeError
21	2025	CVPR	Unified	MUST: The First Dataset and Unified Framework for Multispectral UAV Single Object Tracking	FOUND	1.000	DBLP	2025	CVPR	MUST: The First Dataset and Unified Framework for Multispectral UAV Single Object Tracking	https://dblp.org/rec/conf/cvpr/QinXLCF025	query_openalex:AttributeError
22	2025	ICCV	Unified	Unified Multi-modal Tracking via Shared Latent Representation	NOT_FOUND	0.683	Crossref	2018	Proceedings of the AAAI Conference on Artificial Intelligence	Sequence-to-Sequence Learning via Shared Latent Representation	https://doi.org/10.1609/aaai.v32i1.11837	
23	2025	ICCV	RGB-T	Cross-modal Uncertainty-aware RGBT Tracking	NOT_FOUND	0.750	Crossref	2026		TCCFNet: Triple-Stream Cross-Modal Channel-Aware Feature Interaction Network for RGBT Tracking	https://doi.org/10.2139/ssrn.6754126	
24	2025	ICCV	RGB-T	Temporal-aware Mamba Tracker for RGB-T Tracking	NOT_FOUND	0.651	Crossref	2023	Lecture Notes in Computer Science	Temporal-Aware Siamese Tracker: Integrate Temporal Context for 3D Object Tracking	https://doi.org/10.1007/978-3-031-26319-4_2	
25	2025	ICML	Any-modality	CSTrack: Enhancing RGB-X Tracking via Compact Spatiotemporal Features	NOT_FOUND	0.000						query_openalex:TimeoutError;query_dblp:URLError;query_crossref:URLError
26	2025	IJCAI	RGB-T	Template-based Uncertainty Multimodal Fusion Network for RGBT Tracking	FOUND	1.000	DBLP	2025	IJCAI	Template-based Uncertainty Multimodal Fusion Network for RGBT Tracking	https://dblp.org/rec/conf/ijcai/Ding0M025	query_openalex:AttributeError
27	2025	NeurIPS	Any-modality	Collaborating Vision, Depth, and Thermal Signals for Multi-Modal Tracking: Dataset and Algorithm	FOUND	1.000	DBLP	2025	CoRR	Collaborating Vision, Depth, and Thermal Signals for Multi-Modal Tracking: Dataset and Algorithm	https://dblp.org/rec/journals/corr/abs-2509-24741	
28	2025	TIP	RGB-T	Dual-level modality de-biasing for RGBT tracking	FOUND	1.000	Crossref	2025	IEEE Transactions on Image Processing	Dual-Level Modality De-Biasing for RGB-T Tracking	https://doi.org/10.1109/tip.2025.3562077	
29	2025	TCSVT	RGB-T	MambaVT: Spatio-temporal contextual modeling for robust RGBT tracking	FOUND	1.000	OpenAlex	2024	arXiv (Cornell University)	MambaVT: Spatio-Temporal Contextual Modeling for robust RGB-T Tracking	https://doi.org/10.48550/arxiv.2408.07889	
30	2025	AAAI	Any-modality	Exploiting multimodal spatial-temporal patterns for video object tracking	FOUND	1.000	OpenAlex	2025	Proceedings of the AAAI Conference on Artificial Intelligence	Exploiting Multimodal Spatial-temporal Patterns for Video Object Tracking	https://doi.org/10.1609/aaai.v39i4.32372	
31	2025	CVPR	Any-modality	DreamTrack: Dreaming the Future for Multimodal Visual Object Tracking	FOUND	1.000	DBLP	2025	CVPR	DreamTrack: Dreaming the Future for Multimodal Visual Object Tracking	https://dblp.org/rec/conf/cvpr/GuoTRJZ25	query_openalex:AttributeError
32	2025	ICCV	Any-modality	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	FOUND	1.000	DBLP	2025	ICCV	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	https://dblp.org/rec/conf/iccv/TanSZLAMPGTW25	query_openalex:AttributeError
33	2025	ICCV	Any-modality	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	FOUND	1.000	DBLP	2025	ICCV	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	https://dblp.org/rec/conf/iccv/TanWFZSZMPGT25	query_openalex:AttributeError
34	2025	TAI	Any-modality	Adaptive Perception for Unified Visual Multi-modal Object Tracking	FOUND	1.000	OpenAlex	2025	arXiv (Cornell University)	Adaptive Perception for Unified Visual Multi-modal Object Tracking	https://doi.org/10.48550/arxiv.2502.06583	
35	2025	TIP	RGB-T	Revisiting RGBT tracking benchmarks from the perspective of modality validity: A new benchmark, problem, and solution	FOUND	1.000	OpenAlex	2025	IEEE Transactions on Image Processing	Revisiting RGBT Tracking Benchmarks From the Perspective of Modality Validity: A New Benchmark, Problem, and Solution	https://doi.org/10.1109/tip.2025.3611687	
36	2025	Applied Intelligence	RGB-T	IAMTrack: interframe appearance and modality tokens propagation with temporal modeling for RGBT tracking	FOUND	1.000	OpenAlex	2025	Applied Intelligence	IAMTrack: interframe appearance and modality tokens propagation with temporal modeling for RGBT tracking	https://doi.org/10.1007/s10489-025-06438-w	
37	2025	PR	RGB-T	UniRTL: A universal RGBT and low-light benchmark for object tracking	FOUND	1.000	OpenAlex	2024	Pattern Recognition	UniRTL: A universal RGBT and low-light benchmark for object tracking	https://doi.org/10.1016/j.patcog.2024.110984	
38	2025	AAAI	Unified	SUTrack: Towards simple and unified single object tracking	FOUND	1.000	OpenAlex	2025	Proceedings of the AAAI Conference on Artificial Intelligence	SUTrack: Towards Simple and Unified Single Object Tracking	https://doi.org/10.1609/aaai.v39i2.32223	
39	2025	Information Fusion	Any-modality	Prototype-based cross-modal object tracking	FOUND	1.000	OpenAlex	2025	Information Fusion	Prototype-based cross-modal object tracking	https://doi.org/10.1016/j.inffus.2025.102941	
40	2025	PRL	RGB-T	Temporal aggregation for realtime RGBT tracking via fast decision-level fusion	FOUND	0.994	Crossref	2025	Pattern Recognition Letters	Temporal aggregation for real-time RGBT tracking via fast decision-level fusion	https://doi.org/10.1016/j.patrec.2025.03.028	
41	2024	TIP	RGB-T	RGBT Tracking via Challenge-Based Appearance Disentanglement and Interaction	FOUND	1.000	OpenAlex	2024	IEEE Transactions on Image Processing	RGBT Tracking via Challenge-Based Appearance Disentanglement and Interaction	https://doi.org/10.1109/tip.2024.3371355	query_dblp:HTTPError
42	2024	AAAI	Any-modality	Bi-directional adapter for multimodal tracking	FOUND	1.000	OpenAlex	2024	Proceedings of the AAAI Conference on Artificial Intelligence	Bi-directional Adapter for Multimodal Tracking	https://doi.org/10.1609/aaai.v38i2.27852	
43	2024	AAAI	Any-modality	Generative-based fusion mechanism for multi-modal tracking	FOUND	1.000	OpenAlex	2024	Proceedings of the AAAI Conference on Artificial Intelligence	Generative-Based Fusion Mechanism for Multi-Modal Tracking	https://doi.org/10.1609/aaai.v38i6.28325	
44	2024	AAAI	RGB-T	Temporal adaptive rgbt tracking with modality prompt	FOUND	1.000	OpenAlex	2024	Proceedings of the AAAI Conference on Artificial Intelligence	Temporal Adaptive RGBT Tracking with Modality Prompt	https://doi.org/10.1609/aaai.v38i6.28352	
45	2024	ACM MM	RGB-T	Breaking Modality Gap in RGBT Tracking: Coupled Knowledge Distillation	FOUND	1.000	DBLP	2024	ACM Multimedia	Breaking Modality Gap in RGBT Tracking: Coupled Knowledge Distillation	https://dblp.org/rec/conf/mm/LuZ0X024	query_openalex:AttributeError
46	2024	TIP	RGB-T	QueryTrack: Joint-modality Query Fusion Network for RGBT Tracking	FOUND	1.000	OpenAlex	2024	IEEE Transactions on Image Processing	QueryTrack: Joint-Modality Query Fusion Network for RGBT Tracking	https://doi.org/10.1109/tip.2024.3393298	
47	2024	IJCAI	RGB-T	Unified single-stage transformer network for efficient RGB-T tracking	FOUND	1.000	OpenAlex	2023	arXiv (Cornell University)	Unified Single-Stage Transformer Network for Efficient RGB-T Tracking	https://doi.org/10.48550/arxiv.2308.13764	
48	2024	CVPR	Any-modality	SDSTrack: Self-Distillation Symmetric Adapter Learning for Multi-Modal Visual Object Tracking	FOUND	1.000	DBLP	2024	CVPR	SDSTrack: Self-Distillation Symmetric Adapter Learning for Multi-Modal Visual Object Tracking	https://dblp.org/rec/conf/cvpr/HouXQGXCTW0LL24	query_openalex:AttributeError
49	2024	CVPR	Any-modality	Single-Model and Any-Modality for Video Object Tracking	FOUND	1.000	DBLP	2024	CVPR	Single-Model and Any-Modality for Video Object Tracking	https://dblp.org/rec/conf/cvpr/WuZRV0PGT24	query_openalex:AttributeError
50	2024	TPAMI	RGB-T	RGB-T tracking with template-bridged search interaction and target-preserved template updating	FOUND	1.000	OpenAlex	2024	IEEE Transactions on Pattern Analysis and Machine Intelligence	RGB-T Tracking With Template-Bridged Search Interaction and Target-Preserved Template Updating	https://doi.org/10.1109/tpami.2024.3475472	
51	2024	IVC	Any-modality	MINet: Modality interaction network for unified multi-modal tracking	FOUND	1.000	OpenAlex	2024	Image and Vision Computing	MINet: Modality interaction network for unified multi-modal tracking	https://doi.org/10.1016/j.imavis.2024.105071	
52	2024	Neurocomputing	Any-modality	MixRGBX: Universal multi-modal tracking with symmetric mixed attention	FOUND	1.000	OpenAlex	2024	Neurocomputing	MixRGBX: Universal multi-modal tracking with symmetric mixed attention	https://doi.org/10.1016/j.neucom.2024.128274	
53	2024	arXiv	Any-modality	Towards a generalist and blind RGB-X tracker	FOUND	1.000	DBLP	2024	CoRR	Towards a Generalist and Blind RGB-X Tracker	https://dblp.org/rec/journals/corr/abs-2405-17773	
54	2024	TOMM	RGB-T	Multi-Level Fusion for Robust RGBT Tracking via Enhanced Thermal Representation	FOUND	1.000	OpenAlex	2024	ACM Transactions on Multimedia Computing Communications and Applications	Multi-Level Fusion for Robust RGBT Tracking via Enhanced Thermal Representation	https://doi.org/10.1145/3678176	
55	2024	TCSVT	RGB-T	Toward modalities correlation for RGB-T tracking	FOUND	1.000	OpenAlex	2024	IEEE Transactions on Circuits and Systems for Video Technology	Toward Modalities Correlation for RGB-T Tracking	https://doi.org/10.1109/tcsvt.2024.3396289	
56	2024	TCSVT	Any-modality	EMTrack: Efficient Multimodal Object Tracking	FOUND	1.000	OpenAlex	2024	IEEE Transactions on Circuits and Systems for Video Technology	EMTrack: Efficient Multimodal Object Tracking	https://doi.org/10.1109/tcsvt.2024.3494725	
57	2024	TMM	RGB-T	Learning multi-layer attention aggregation siamese network for robust rgbt tracking	FOUND	1.000	OpenAlex	2023	IEEE Transactions on Multimedia	Learning Multi-Layer Attention Aggregation Siamese Network for Robust RGBT Tracking	https://doi.org/10.1109/tmm.2023.3310295	
58	2024	Sensors	RGB-T	Learning multifrequency integration network for rgbt tracking	FOUND	1.000	OpenAlex	2024	IEEE Sensors Journal	Learning Multifrequency Integration Network for RGBT Tracking	https://doi.org/10.1109/jsen.2024.3370144	
59	2024	TCSVT	RGB-T	Transformer rgbt tracking with spatio-temporal multimodal tokens	FOUND	1.000	OpenAlex	2024	IEEE Transactions on Circuits and Systems for Video Technology	Transformer RGBT Tracking With Spatio-Temporal Multimodal Tokens	https://doi.org/10.1109/tcsvt.2024.3425455	
60	2024	TCSVT	RGB-T	Top-down cross-modal guidance for robust rgb-t tracking	FOUND	1.000	DBLP	2024	IEEE Trans. Circuits Syst. Video Technol.	Top-Down Cross-Modal Guidance for Robust RGB-T Tracking	https://dblp.org/rec/journals/tcsv/ChenZLZMS24	query_openalex:AttributeError
61	2024	arXiv	RGB-T	Cross Fusion RGB-T Tracking with Bi-directional Adapter	FOUND	1.000	OpenAlex	2024	arXiv (Cornell University)	Cross Fusion RGB-T Tracking with Bi-directional Adapter	https://doi.org/10.48550/arxiv.2408.16979	
62	2024	CVPR	Unified	Onetracker: Unifying visual object tracking with foundation models and efficient tuning	FOUND	1.000	DBLP	2024	CVPR	OneTracker: Unifying Visual Object Tracking with Foundation Models and Efficient Tuning	https://dblp.org/rec/conf/cvpr/HongYZLZGJCLCZ24	query_openalex:AttributeError
63	2024	TNNLS	RGB-T	Cross-modal object tracking via modality-aware fusion network and a large-scale dataset	FOUND	1.000	OpenAlex	2024	IEEE Transactions on Neural Networks and Learning Systems	Cross-Modal Object Tracking via Modality-Aware Fusion Network and a Large-Scale Dataset	https://doi.org/10.1109/tnnls.2024.3406189	
64	2024	IJCV	RGB-T	Modality-missing RGBT tracking: Invertible prompt learning and high-quality benchmarks	FOUND	1.000	OpenAlex	2024	International Journal of Computer Vision	Modality-missing RGBT Tracking: Invertible Prompt Learning and High-quality Benchmarks	https://doi.org/10.1007/s11263-024-02311-4	
65	2024	TIP	RGB-T	Exploring multi-modal spatial–temporal contexts for high-performance RGB-T tracking	FOUND	1.000	OpenAlex	2024	IEEE Transactions on Image Processing	Exploring Multi-Modal Spatial–Temporal Contexts for High-Performance RGB-T Tracking	https://doi.org/10.1109/tip.2024.3428316	
66	2024	TCSVT	RGB-T	AMNet: Learning to align multi-modality for RGB-T tracking	FOUND	1.000	OpenAlex	2024	IEEE Transactions on Circuits and Systems for Video Technology	AMNet: Learning to Align Multi-Modality for RGB-T Tracking	https://doi.org/10.1109/tcsvt.2024.3377471	
67	2024	IEEE Sensors Journal	RGB-T	Transformer-based RGB-T tracking with channel and spatial feature fusion	FOUND	1.000	OpenAlex	2025	IEEE Sensors Journal	Transformer-Based RGB-T Tracking With Channel and Spatial Feature Fusion	https://doi.org/10.1109/jsen.2025.3579339	
68	2024	TCSVT	RGB-T	RGBT tracking via progressive fusion transformer with dynamically guided learning	FOUND	1.000	OpenAlex	2024	IEEE Transactions on Circuits and Systems for Video Technology	RGBT Tracking via Progressive Fusion Transformer With Dynamically Guided Learning	https://doi.org/10.1109/tcsvt.2024.3391802	
69	2024	SIVP	RGB-T	Learning a multimodal feature transformer for RGBT tracking	FOUND	1.000	OpenAlex	2024	Signal Image and Video Processing	Learning a multimodal feature transformer for RGBT tracking	https://doi.org/10.1007/s11760-024-03148-7	
70	2023	CVPR	RGB-T	Bridging search region interaction with template for RGB-T tracking	FOUND	1.000	DBLP	2023	CVPR	Bridging Search Region Interaction with Template for RGB-T Tracking	https://dblp.org/rec/conf/cvpr/HuiXPHWWDHL23	query_openalex:AttributeError
71	2023	Sensors	RGB-T	Learning modality complementary features with mixed attention mechanism for RGB-T tracking	FOUND	1.000	OpenAlex	2023	Sensors	Learning Modality Complementary Features with Mixed Attention Mechanism for RGB-T Tracking	https://doi.org/10.3390/s23146609	
72	2023	ACM MM	RGB-T	Quality-Aware RGBT Tracking via Supervised Reliability Learning and Weighted Residual Guidance	FOUND	1.000	DBLP	2023	ACM Multimedia	Quality-Aware RGBT Tracking via Supervised Reliability Learning and Weighted Residual Guidance	https://dblp.org/rec/conf/mm/LiuLXT23	query_openalex:AttributeError
73	2023	IJMLC	RGB-T	Siamese infrared and visible light fusion network for RGBT tracking	FOUND	1.000	Crossref	2023	International Journal of Machine Learning and Cybernetics	Siamese infrared and visible light fusion network for RGB-T tracking	https://doi.org/10.1007/s13042-023-01833-6	
74	2023	Sensors	RGB-T	Differential reinforcement and global collaboration network for rgbt tracking	FOUND	1.000	Crossref	2023	IEEE Sensors Journal	Differential Reinforcement and Global Collaboration Network for RGBT Tracking	https://doi.org/10.1109/jsen.2023.3244834	query_openalex:AttributeError
75	2023	CVPR	Any-modality	Visual prompt multi-modal tracking	FOUND	1.000	DBLP	2023	CVPR	Visual Prompt Multi-Modal Tracking	https://dblp.org/rec/conf/cvpr/ZhuL0WL23	query_openalex:AttributeError
76	2023	TIM	RGB-T	Dual-modality space-time memory network for RGBT tracking	FOUND	1.000	OpenAlex	2023	IEEE Transactions on Instrumentation and Measurement	Dual-Modality Space-Time Memory Network for RGBT Tracking	https://doi.org/10.1109/tim.2023.3282668	
77	2023	Information Fusion	RGB-T	Exploring fusion strategies for accurate RGBT visual object tracking	FOUND	1.000	OpenAlex	2023	Information Fusion	Exploring fusion strategies for accurate RGBT visual object tracking	https://doi.org/10.1016/j.inffus.2023.101881	
78	2023	arXiv	RGB-T	RGB-T tracking via multimodal mutual prompt learning	NOT_FOUND	0.696	Crossref	2025	Lecture Notes in Electrical Engineering	RGB-T Tracking via Region Filtering-Fusion and Prompt Learning	https://doi.org/10.1007/978-981-96-3552-8_15	
79	2023	CVPR	RGB-T	Efficient RGB-T tracking via cross-modality distillation	FOUND	1.000	DBLP	2023	CVPR	Efficient RGB-T Tracking via Cross-Modality Distillation	https://dblp.org/rec/conf/cvpr/ZhangGJZH23	query_openalex:AttributeError
80	2023	Infrared Physics & Technology	RGB-T	Learning modality feature fusion via transformer for rgbt-tracking	FOUND	1.000	OpenAlex	2023	Infrared Physics & Technology	Learning modality feature fusion via transformer for RGBT-tracking	https://doi.org/10.1016/j.infrared.2023.104819	
81	2023	Drones	RGB-T	Drone based RGBT tracking with dual-feature aggregation network	FOUND	1.000	OpenAlex	2023	Drones	Drone Based RGBT Tracking with Dual-Feature Aggregation Network	https://doi.org/10.3390/drones7090585	
82	2023	Remote Sensing	RGB-T	SiamCAF: Complementary attention fusion-based Siamese network for RGBT tracking	FOUND	1.000	OpenAlex	2023	Remote Sensing	SiamCAF: Complementary Attention Fusion-Based Siamese Network for RGBT Tracking	https://doi.org/10.3390/rs15133252	
83	2023	arXiv	Unified	Unified sequence-to-sequence learning for single- and multi-modal visual object tracking	FOUND	1.000	OpenAlex	2023	arXiv (Cornell University)	Unified Sequence-to-Sequence Learning for Single- and Multi-Modal Visual Object Tracking	https://doi.org/10.48550/arxiv.2304.14394	
84	2023	Information Fusion	RGB-T	Multi-modal multi-task feature fusion for RGBT tracking	FOUND	1.000	DBLP	2023	Inf. Fusion	Multi-modal multi-task feature fusion for RGBT tracking	https://dblp.org/rec/journals/inffus/CaiSG23	query_openalex:AttributeError
85	2022	ICME	RGB-T	Mirnet: A robust RGBT tracking jointly with multi-modal interaction and refinement	FOUND	1.000	DBLP	2022	ICME	MIRNet: A Robust RGBT Tracking Jointly with Multi-Modal Interaction and Refinement	https://dblp.org/rec/conf/icmcs/HouRW22	query_openalex:AttributeError
86	2022	TNNLS	RGB-T	Duality-gated mutual condition network for RGBT tracking	FOUND	1.000	OpenAlex	2022	IEEE Transactions on Neural Networks and Learning Systems	Duality-Gated Mutual Condition Network for RGBT Tracking	https://doi.org/10.1109/tnnls.2022.3157594	
87	2022	AAAI	RGB-T	Attribute-based progressive fusion network for rgbt tracking	FOUND	1.000	OpenAlex	2022	Proceedings of the AAAI Conference on Artificial Intelligence	Attribute-Based Progressive Fusion Network for RGBT Tracking	https://doi.org/10.1609/aaai.v36i3.20187	
88	2022	ACM MM	Any-modality	Prompting for multi-modal tracking	FOUND	1.000	DBLP	2022	ACM Multimedia	Prompting for Multi-Modal Tracking	https://dblp.org/rec/conf/mm/YangLZLS22	query_openalex:AttributeError
89	2022	TITS	RGB-T	Dynamic fusion network for RGBT tracking	FOUND	1.000	DBLP	2023	IEEE Trans. Intell. Transp. Syst.	Dynamic Fusion Network for RGBT Tracking	https://dblp.org/rec/journals/tits/PengZH23	query_openalex:AttributeError
90	2022	TMM	RGB-T	MFGNet: Dynamic modality-aware filter generation for RGB-T tracking	FOUND	1.000	DBLP	2023	IEEE Trans. Multim.	MFGNet: Dynamic Modality-Aware Filter Generation for RGB-T Tracking	https://dblp.org/rec/journals/tmm/WangSZJWTW23	query_openalex:AttributeError
91	2022	CVPR	RGB-T	Visible-thermal UAV tracking: A large-scale benchmark and new baseline	FOUND	1.000	OpenAlex	2022	2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	Visible-Thermal UAV Tracking: A Large-Scale Benchmark and New Baseline	https://doi.org/10.1109/cvpr52688.2022.00868	
92	2022	TIP	RGB-T	LasHeR: A large-scale high-diversity benchmark for RGBT tracking	FOUND	1.000	OpenAlex	2021	IEEE Transactions on Image Processing	LasHeR: A Large-Scale High-Diversity Benchmark for RGBT Tracking	https://doi.org/10.1109/tip.2021.3130533	
93	2022	TIP	RGB-T	M5L: Multi-modal multi-margin metric learning for RGBT tracking	FOUND	1.000	DBLP	2022	IEEE Trans. Image Process.	M5L: Multi-Modal Multi-Margin Metric Learning for RGBT Tracking	https://dblp.org/rec/journals/tip/TuLZLT22	query_openalex:AttributeError
94	2022	TMM	RGB-T	Multimodal cross-layer bilinear pooling for RGBT tracking	FOUND	1.000	OpenAlex	2021	IEEE Transactions on Multimedia	Multimodal Cross-Layer Bilinear Pooling for RGBT Tracking	https://doi.org/10.1109/tmm.2021.3055362	
95	2022	AAAI	Any-modality	Cross-modal object tracking: Modality-aware representations and a unified benchmark	FOUND	1.000	DBLP	2022	AAAI	Cross-Modal Object Tracking: Modality-Aware Representations and a Unified Benchmark	https://dblp.org/rec/conf/aaai/0002ZLSFZ22	query_openalex:AttributeError
96	2021	TIP	RGB-T	RGBT tracking via multi-Adapter network with hierarchical divergence Loss	FOUND	1.000	OpenAlex	2021	IEEE Transactions on Image Processing	RGBT Tracking via Multi-Adapter Network with Hierarchical Divergence Loss	https://doi.org/10.1109/tip.2021.3087341	
97	2021	IJCV	RGB-T	Learning adaptive attribute-driven representation for real-time RGBT tracking	FOUND	1.000	Crossref	2021	International Journal of Computer Vision	Learning Adaptive Attribute-Driven Representation for Real-Time RGB-T Tracking	https://doi.org/10.1007/s11263-021-01495-3	
98	2021	TIP	RGB-T	Jointly modeling motion and appearance cues for robust RGB-T tracking	FOUND	1.000	OpenAlex	2021	IEEE Transactions on Image Processing	Jointly Modeling Motion and Appearance Cues for Robust RGB-T Tracking	https://doi.org/10.1109/tip.2021.3060862	
99	2021	TIV	RGB-T	Quality-aware feature aggregation network for robust RGBT tracking	FOUND	1.000	OpenAlex	2020	IEEE Transactions on Intelligent Vehicles	Quality-Aware Feature Aggregation Network for Robust RGBT Tracking	https://doi.org/10.1109/tiv.2020.2980735	
100	2020	ECCV	RGB-T	Challenge-aware RGBT tracking	FOUND	1.000	OpenAlex	2020	Lecture notes in computer science	Challenge-Aware RGBT Tracking	https://doi.org/10.1007/978-3-030-58542-6_14	
101	2020	CVPR	RGB-T	Cross-modal pattern-propagation for RGB-T tracking	FOUND	1.000	DBLP	2020	CVPR	Cross-Modal Pattern-Propagation for RGB-T Tracking	https://dblp.org/rec/conf/cvpr/WangXCZZZY20	query_openalex:AttributeError
102	2019	ICCV Workshop	RGB-T	Deep adaptive fusion network for high performance RGBT tracking	FOUND	1.000	DBLP	2019	ICCV Workshops	Deep Adaptive Fusion Network for High Performance RGBT Tracking	https://dblp.org/rec/conf/iccvw/GaoLZTHW19	query_openalex:AttributeError
103	2019	ICCV Workshop	RGB-T	Multi-adapter RGBT tracking	FOUND	1.000	DBLP	2019	ICCV Workshops	Multi-Adapter RGBT Tracking	https://dblp.org/rec/conf/iccvw/LiLZTT19	query_openalex:AttributeError
